slide_id,fov_id,blob,bin,slide_density_mean,slide_density_std,predicted_density_score,predicted_density_label,predicted_overlap_score,predicted_overlap_label
RUB-72501824,138,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-138-RUB-72501824.png,0,0.0765,0.0982,0.1088178561,sparser,0.1432056233,no rouleaux
RUB-72501824,322,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-322-RUB-72501824.png,0,0.0765,0.0982,0.1104573201,sparser,0.1445008255,no rouleaux
RUB-72501824,134,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-134-RUB-72501824.png,0,0.0765,0.0982,0.1118422542,sparser,0.1477603097,no rouleaux
RUB-72501824,250,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-250-RUB-72501824.png,0,0.0765,0.0982,0.1137938073,sparser,0.1445356409,no rouleaux
RUB-72501824,72,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-072-RUB-72501824.png,0,0.0765,0.0982,0.1149419358,sparser,0.1506332701,no rouleaux
RUB-72501824,214,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-214-RUB-72501824.png,0,0.0765,0.0982,0.1181411638,sparser,0.152185901,no rouleaux
RUB-72501824,145,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-145-RUB-72501824.png,0,0.0765,0.0982,0.1206625546,sparser,0.1541167561,no rouleaux
RUB-72501824,227,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-227-RUB-72501824.png,0,0.0765,0.0982,0.125005342,sparser,0.1621821691,no rouleaux
RUB-72501824,79,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-079-RUB-72501824.png,0,0.0765,0.0982,0.1280422388,sparser,0.1586134381,no rouleaux
RUB-72501824,292,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-292-RUB-72501824.png,0,0.0765,0.0982,0.1319758635,sparser,0.1072824348,no rouleaux
RUB-72501824,235,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-235-RUB-72501824.png,0,0.0765,0.0982,0.1340545064,sparser,0.125892939,no rouleaux
RUB-72501824,45,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-045-RUB-72501824.png,0,0.0765,0.0982,0.1351455031,sparser,0.1419319538,no rouleaux
RUB-72501824,131,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-131-RUB-72501824.png,0,0.0765,0.0982,0.1400679892,sparser,0.1834109359,no rouleaux
RUB-72501824,16,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-016-RUB-72501824.png,0,0.0765,0.0982,0.1457885905,sparser,0.1536368274,no rouleaux
RUB-72501824,272,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-272-RUB-72501824.png,0,0.0765,0.0982,0.1481102927,sparser,0.1213791645,no rouleaux
RUB-72501824,100,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-100-RUB-72501824.png,0,0.0765,0.0982,0.1537966751,sparser,0.2012675578,no rouleaux
RUB-72501824,61,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-061-RUB-72501824.png,0,0.0765,0.0982,0.1562605393,sparser,0.1799904867,no rouleaux
RUB-72501824,308,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-308-RUB-72501824.png,0,0.0765,0.0982,0.1620725622,sparser,0.1448189294,no rouleaux
RUB-72501824,5,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-005-RUB-72501824.png,0,0.0765,0.0982,0.1676668139,sparser,0.1352465475,no rouleaux
RUB-72501824,203,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-203-RUB-72501824.png,0,0.0765,0.0982,0.1723959541,sparser,0.1755341383,no rouleaux
RUB-72501824,4,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-004-RUB-72501824.png,0,0.0765,0.0982,0.1769131228,sparser,0.1390465946,no rouleaux
RUB-72501824,228,gs://tanzania_02032026/TZ2025-Box3/RUB-72501824/dpc-228-RUB-72501824.png,0,0.0765,0.0982,0.180345472,sparser,0.2350113345,no rouleaux
