sample_id,country,boundary_fov_id,n_spots_detected,baseline_mean,baseline_std,baseline_median,baseline_mad,n_fovs_on_slide,ratio_to_median,robust_zscore,mean_zscore,flags,no_data_reason
LB-D3-2025-09-02-141940-25087110-D-Only-1-2,Liberia,324,390,479.889,269.855,415.0,231.286,324,0.94,-0.108,-0.333,,
LB-D3-2025-09-09-093425-250917463-D-Only-1-1,Liberia,1,158,214.528,387.18,168.0,41.513,324,0.94,-0.241,-0.146,mean_median_divergence,
LB-D3-2025-09-09-093425-250917463-D-Only-1-1,Liberia,324,137,214.528,387.18,168.0,41.513,324,0.815,-0.747,-0.2,mean_median_divergence,
LB-D3-2025-09-27-121918-17217958-D-thin-4-4,Liberia,1,363,502.438,758.616,362.5,97.11,324,1.001,0.005,-0.184,mean_median_divergence,
LB-D3-2025-09-27-121918-17217958-D-thin-4-4,Liberia,324,773,502.438,758.616,362.5,97.11,324,2.132,4.227,0.357,mean_median_divergence;high_outlier,
LB-D3-2025-10-03-104211-250917371-D-thin-2-3,Liberia,1,326,236.974,785.929,145.0,53.374,270,2.248,3.391,0.113,mean_median_divergence;high_outlier,
LB-D3-2025-10-03-104211-250917371-D-thin-2-3,Liberia,324,,,,,,,,,,no_data,fov_id missing from detection results
LB-D3-2025-10-03-104643-250917465-D-thin-3-4,Liberia,1,255,217.184,226.757,190.0,59.304,288,1.342,1.096,0.167,,
LB-D3-2025-10-03-104643-250917465-D-thin-3-4,Liberia,324,,,,,,,,,,no_data,fov_id missing from detection results
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,Liberia,1,261,256.758,265.127,220.0,65.234,306,1.186,0.629,0.016,,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,Liberia,324,,,,,,,,,,no_data,fov_id missing from detection results
LB-D3-2025-10-03-125352-2402169466D-thin-2-1,Liberia,1,309,271.676,143.033,252.0,43.737,324,1.226,1.303,0.261,,
LB-D3-2025-10-03-125352-2402169466D-thin-2-1,Liberia,324,237,271.676,143.033,252.0,43.737,324,0.94,-0.343,-0.242,,
LB-D3-2025-10-03-130859-250916865-D-thin-1-4,Liberia,1,346,404.275,296.445,345.0,108.23,324,1.003,0.009,-0.197,,
LB-D3-2025-10-03-130859-250916865-D-thin-1-4,Liberia,324,510,404.275,296.445,345.0,108.23,324,1.478,1.525,0.357,,
LB-D3-2025-10-22-131729-250917745-D-thin-2-3,Liberia,1,507,401.611,696.884,271.5,107.488,324,1.867,2.191,0.151,mean_median_divergence;high_outlier,
LB-D3-2025-10-22-131729-250917745-D-thin-2-3,Liberia,324,735,401.611,696.884,271.5,107.488,324,2.707,4.312,0.478,mean_median_divergence;high_outlier,
LB-D3-2025-10-22-132316-2411189646-D-thin-1-4,Liberia,1,681,517.475,409.56,398.5,155.673,324,1.709,1.815,0.399,mean_median_divergence,
LB-D3-2025-10-22-132316-2411189646-D-thin-1-4,Liberia,324,389,517.475,409.56,398.5,155.673,324,0.976,-0.061,-0.314,mean_median_divergence,
LB-D3-2025-10-22-140622-250917738-D-thin-1-1,Liberia,1,495,633.895,1445.278,204.0,119.349,324,2.426,2.438,-0.096,mean_median_divergence;high_outlier,
LB-D3-2025-10-22-140622-250917738-D-thin-1-1,Liberia,324,136,633.895,1445.278,204.0,119.349,324,0.667,-0.57,-0.344,mean_median_divergence,
LB-D3-2025-10-24-113736-250918214-D-thin-2-3,Liberia,1,157,294.905,107.717,271.0,62.269,168,0.579,-1.831,-1.28,,
LB-D3-2025-10-24-113736-250918214-D-thin-2-3,Liberia,324,,,,,,,,,,no_data,fov_id missing from detection results
LB-D3-2025-10-24-132012-25046898-D-thin-1-4,Liberia,1,594,543.815,241.663,510.0,115.643,324,1.165,0.726,0.208,,
LB-D3-2025-10-24-132012-25046898-D-thin-1-4,Liberia,324,575,543.815,241.663,510.0,115.643,324,1.127,0.562,0.129,,
LB-D3-2025-10-24-162727-230918080-D-thin-1-4,Liberia,1,1061,1138.022,554.818,1074.5,169.016,324,0.987,-0.08,-0.139,,
LB-D3-2025-10-24-162727-230918080-D-thin-1-4,Liberia,324,920,1138.022,554.818,1074.5,169.016,324,0.856,-0.914,-0.393,,
LB-D3-2025-10-25-105806-180951467-D-thin-1-1,Liberia,1,291,196.753,180.653,173.0,84.508,324,1.682,1.396,0.522,,
LB-D3-2025-10-25-105806-180951467-D-thin-1-1,Liberia,324,150,196.753,180.653,173.0,84.508,324,0.867,-0.272,-0.259,,
LB-D3-2025-10-25-150947-250917467-D-thin-3-2,Liberia,1,179,370.472,173.877,345.5,164.569,324,0.518,-1.012,-1.101,,
LB-D3-2025-10-25-150947-250917467-D-thin-3-2,Liberia,324,640,370.472,173.877,345.5,164.569,324,1.852,1.79,1.55,,
LB-D3-2025-10-27-123159-251123404-D-thin-4-1,Liberia,1,198,205.096,320.223,158.5,77.837,324,1.249,0.507,-0.022,mean_median_divergence,
LB-D3-2025-10-27-123159-251123404-D-thin-4-1,Liberia,324,73,205.096,320.223,158.5,77.837,324,0.461,-1.098,-0.413,mean_median_divergence,
LB-D3-2025-10-27-124239-250916732-D-thin-1-3,Liberia,1,409,491.512,508.828,456.0,111.195,324,0.897,-0.423,-0.162,,
LB-D3-2025-10-27-124239-250916732-D-thin-1-3,Liberia,324,366,491.512,508.828,456.0,111.195,324,0.803,-0.809,-0.247,,
LB-D3-2025-10-27-134711-250917368-D-thin-1-3,Liberia,1,112,145.287,351.89,108.0,32.617,324,1.037,0.123,-0.095,mean_median_divergence,
LB-D3-2025-10-27-134711-250917368-D-thin-1-3,Liberia,324,260,145.287,351.89,108.0,32.617,324,2.407,4.66,0.326,mean_median_divergence;high_outlier,
LB-D3-2025-10-27-144635-250918691-D-thin-2-2,Liberia,1,435,534.79,706.113,372.5,133.434,324,1.168,0.468,-0.141,mean_median_divergence,
