slide_id,site,annotatable,annotatable_rank,n_fovs,mean,median,range,stdev,mad,iqr,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p100,frac_density_ge_monolayer,frac_density_ge_slightly_dense,frac_density_ge_dense,frac_density_ge_very_dense,frac_rouleaux_ge_slight_rouleaux,frac_rouleaux_ge_some_rouleaux,frac_rouleaux_ge_rouleaux,frac_rouleaux_ge_heavy_rouleaux,top95_mean,top90_mean,top85_mean,top80_mean,top75_mean,top70_mean,top65_mean,top60_mean,top55_mean,top50_mean,top45_mean,top40_mean,top35_mean,top30_mean,top25_mean,top20_mean,top15_mean,top10_mean,top5_mean
KIT-62501075,KIT,hard,1,324,0.648164,0.623873,0.975443,0.175359,0.114012,0.247524,0.390967,0.421007,0.469233,0.503794,0.520584,0.541789,0.566655,0.584649,0.601759,0.623873,0.651985,0.675273,0.705807,0.723475,0.768109,0.806748,0.834993,0.884233,0.944969,1.28728,0.734568,0.160494,0.009259,0.0,0.209877,0.049383,0.006173,0.0,0.663141,0.677337,0.691763,0.704294,0.71691,0.729971,0.743336,0.758016,0.772673,0.788524,0.805163,0.822722,0.842911,0.863736,0.887229,0.911795,0.941134,0.982926,1.047742
KIT-62501077,KIT,annotatable,4,324,0.493914,0.511674,1.05159,0.142018,0.083273,0.170017,0.295482,0.326962,0.362743,0.391644,0.414969,0.433231,0.450632,0.468709,0.491503,0.511674,0.522003,0.5312,0.553359,0.56586,0.584987,0.59912,0.617499,0.648016,0.691117,1.05159,0.348765,0.003086,0.0,0.0,0.024691,0.003086,0.0,0.0,0.512558,0.523535,0.534845,0.544429,0.553734,0.562921,0.572045,0.582097,0.590922,0.599677,0.608766,0.618981,0.630557,0.642152,0.654829,0.670679,0.691105,0.721006,0.770329
KIT-62501081,KIT,hard,1,324,0.416195,0.420258,0.498799,0.102983,0.064556,0.130929,0.225924,0.267666,0.300637,0.331706,0.353112,0.368635,0.382651,0.391023,0.403982,0.420258,0.434903,0.448067,0.462715,0.472839,0.484042,0.5029,0.523248,0.544744,0.591331,0.651085,0.145062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427184,0.436987,0.446178,0.454194,0.461531,0.468705,0.475672,0.483488,0.491181,0.499011,0.50686,0.515028,0.524195,0.533409,0.54414,0.556952,0.570597,0.589927,0.615159
KIT-62501083,KIT,annotatable (hard),3,324,0.755162,0.743757,0.914943,0.202111,0.177709,0.357173,0.470337,0.504775,0.535252,0.563901,0.580195,0.594826,0.613783,0.645811,0.679433,0.743757,0.800069,0.835647,0.892366,0.917804,0.937368,0.952309,0.977764,1.013186,1.046101,1.259311,0.851852,0.395062,0.012346,0.0,0.45679,0.209877,0.012346,0.0,0.772025,0.787586,0.804288,0.819952,0.836253,0.853874,0.87287,0.894316,0.91504,0.935837,0.953428,0.970298,0.985484,0.998554,1.012109,1.028663,1.049973,1.07826,1.123655
KIT-62501087,KIT,hard,1,324,0.712405,0.734354,0.781698,0.193442,0.16074,0.337947,0.417357,0.45111,0.485531,0.512017,0.53917,0.582178,0.606032,0.627756,0.670633,0.734354,0.766396,0.794765,0.823021,0.852266,0.877116,0.90225,0.925806,0.965884,0.992131,1.11243,0.75,0.317901,0.0,0.0,0.410494,0.126543,0.0,0.0,0.729812,0.745828,0.763266,0.779559,0.796235,0.812807,0.829643,0.848364,0.866453,0.882216,0.896345,0.910446,0.925387,0.939511,0.954085,0.96952,0.987529,1.00911,1.042454
KIT-62501089,KIT,can spot annotate,2,324,0.568768,0.56034,1.019727,0.194858,0.12624,0.254101,0.280061,0.320277,0.363584,0.395206,0.423801,0.458713,0.486533,0.511187,0.532295,0.56034,0.584215,0.61131,0.632724,0.656,0.677902,0.7099,0.761914,0.824403,0.932857,1.161786,0.533951,0.092593,0.0,0.0,0.12037,0.049383,0.015432,0.0,0.586227,0.601979,0.617956,0.632713,0.647493,0.661637,0.676028,0.691735,0.706817,0.722742,0.739472,0.756585,0.777119,0.798782,0.824925,0.856848,0.897085,0.950373,1.034699
KIT-62501090,KIT,annotatable,4,324,0.163098,0.175515,0.3962,0.088617,0.065289,0.135729,0.015349,0.030777,0.046727,0.070436,0.093093,0.111349,0.129243,0.143763,0.158918,0.175515,0.19143,0.203281,0.21316,0.219673,0.228822,0.240838,0.257388,0.269353,0.28681,0.39808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171161,0.179346,0.188209,0.196146,0.203654,0.210755,0.217692,0.224787,0.231451,0.237484,0.243445,0.249229,0.255299,0.261871,0.269251,0.277721,0.287704,0.301061,0.323462
KIT-62501093,KIT,annotatable,4,324,0.268761,0.259318,0.634396,0.102846,0.068282,0.13583,0.125832,0.148103,0.170196,0.180782,0.195454,0.206191,0.218533,0.233671,0.24688,0.259318,0.27116,0.282637,0.296869,0.315059,0.331284,0.359868,0.377544,0.40221,0.453251,0.634396,0.006173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278371,0.286141,0.29401,0.301319,0.308836,0.316434,0.324215,0.332775,0.341092,0.34975,0.358923,0.369198,0.381215,0.393586,0.407551,0.422929,0.441197,0.465747,0.507518
KIT-62501095,KIT,annotatable,4,324,0.117454,0.099208,0.362819,0.093706,0.070468,0.14779,0.0,0.009998,0.014876,0.025091,0.034729,0.044278,0.05567,0.071865,0.085134,0.099208,0.117766,0.134778,0.156269,0.163424,0.182519,0.208092,0.229,0.25307,0.290304,0.362819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123555,0.130205,0.137473,0.144757,0.152309,0.160301,0.168676,0.177784,0.186769,0.196043,0.205853,0.215628,0.22662,0.237485,0.250225,0.263126,0.27778,0.296395,0.321023
KIT-62501100,KIT,hard,1,324,0.59857,0.570541,0.720253,0.153301,0.086569,0.178965,0.403187,0.433512,0.45327,0.474584,0.489504,0.50283,0.520766,0.541755,0.552288,0.570541,0.586404,0.60468,0.621026,0.641521,0.668468,0.695861,0.753686,0.811415,0.949182,1.057435,0.608025,0.07716,0.0,0.0,0.135802,0.052469,0.0,0.0,0.609984,0.620715,0.631597,0.642067,0.652488,0.663547,0.675074,0.687735,0.7004,0.714068,0.729058,0.745375,0.765353,0.787294,0.813116,0.845925,0.884987,0.937782,1.005476
