sample_id,fov_id,country,spot_truth,notes,target_n_spots,baseline_mean,baseline_std,baseline_median,baseline_mad,n_fovs_on_slide,ratio_to_median,robust_zscore,mean_zscore,flags,no_data_reason
KTR-72502946,198,Tanzania,yes,,4417,76.265,244.572,53.0,26.687,324,83.34,163.527,17.748,same_slide_contamination;mean_median_divergence;high_outlier,
NKR-72502319,119,Tanzania,no,background,92,113.358,453.012,74.0,29.652,324,1.243,0.607,-0.047,same_slide_contamination;mean_median_divergence,
NKR-72502319,293,Tanzania,yes,,5938,113.358,453.012,74.0,29.652,324,80.243,197.761,12.858,same_slide_contamination;mean_median_divergence;high_outlier,
NKR-72502319,311,Tanzania,yes,,5734,113.358,453.012,74.0,29.652,324,77.486,190.881,12.407,same_slide_contamination;mean_median_divergence;high_outlier,
RUB-62501332,133,Tanzania,yes,,2797,221.096,154.081,213.5,48.184,324,13.101,53.617,16.718,high_outlier,
RUB-62501389,284,Tanzania,yes,double,9453,144.123,628.929,89.0,42.995,324,106.213,217.791,14.801,mean_median_divergence;high_outlier,
RUB-62501518,315,Tanzania,no,background,5549,159.758,675.114,95.0,45.961,322,58.411,118.667,7.983,mean_median_divergence;high_outlier,
RUB-62501529,87,Tanzania,no,background,333,238.932,75.719,228.0,80.802,324,1.461,1.299,1.242,,
RUB-72501756,315,Tanzania,yes,,2125,203.645,136.132,171.5,63.752,324,12.391,30.642,14.114,high_outlier,
PAT-070-3,34,Uganda,yes,double,945,219.176,166.478,195.0,47.443,506,4.846,15.808,4.36,high_outlier,
PAT-072-1,14,Uganda,no,artifact,324,58.583,37.392,50.0,22.239,712,6.48,12.321,7.098,same_slide_contamination;high_outlier,
PAT-072-1,94,Uganda,no,artifact,170,58.583,37.392,50.0,22.239,712,3.4,5.396,2.98,same_slide_contamination;high_outlier,
PAT-154-1,478,Uganda,no,background,2606,3554.042,2382.577,3546,3012.643,525,0.735,-0.312,-0.398,,
PBC-225_AM-1,30,Uganda,no,background,2852,3000.71,803.763,2927,720.544,525,0.974,-0.104,-0.185,,
PBC-608-KH-1,171,Uganda,yes,,1913,68.696,90.518,57,17.791,483,33.561,104.321,20.375,high_outlier,
PBC-800-1,128,Uganda,no,background,102,137.288,173.918,101,48.926,735,1.01,0.02,-0.203,same_slide_contamination;mean_median_divergence,
PBC-800-1,732,Uganda,no,background,176,137.288,173.918,101,48.926,735,1.743,1.533,0.223,same_slide_contamination;mean_median_divergence,
PAT-103-2,441,Uganda,no,background,577,1455.366,924.866,1325.0,1115.657,576,0.435,-0.67,-0.95,,
PAT-112-2,124,Uganda,no,background,147,126.771,47.79,121,34.1,529,1.215,0.762,0.423,,
