slide_id,source,metric,model_version,n_fovs_on_slide,baseline_mean,baseline_std,baseline_median,baseline_mad,flags,no_data_reason
KIT-62500818,annotation_bucket,n_spots_detected,,324,176.63,82.901,168.5,86.7321,,
KIT-62500833,annotation_bucket,n_spots_detected,,324,244.324,211.187,201.0,64.4931,,
KIT-62500834,annotation_bucket,n_spots_detected,,324,170.815,136.508,154.0,81.543,,
KIT-62500839,annotation_bucket,n_spots_detected,,324,243.352,426.601,210.0,60.7866,,
KIT-62500840,annotation_bucket,n_spots_detected,,324,172.941,37.39,171.0,38.5476,,
KIT-62500843,annotation_bucket,n_spots_detected,,324,200.673,61.61,194.0,58.5627,,
KIT-62500883,annotation_bucket,n_spots_detected,,324,252.593,124.431,221.5,46.7019,,
KIT-62500886,annotation_bucket,n_spots_detected,,324,252.417,102.389,230.0,48.1845,,
KIT-62500893,annotation_bucket,n_spots_detected,,324,308.639,66.948,305.0,57.0801,,
KIT-62500895,annotation_bucket,n_spots_detected,,324,205.16,60.032,201.5,60.0453,,
KIT-62500896,annotation_bucket,n_spots_detected,,324,233.941,37.375,230.0,35.5824,,
KIT-62500900,annotation_bucket,n_spots_detected,,324,137.917,36.048,136.0,34.0998,,
KIT-62500901,annotation_bucket,n_spots_detected,,324,205.432,46.635,203.0,41.5128,,
KIT-62500905,annotation_bucket,n_spots_detected,,324,142.364,42.482,137.0,36.3237,,
KIT-62500906,annotation_bucket,n_spots_detected,,324,221.599,59.576,215.5,51.891,,
KIT-62500907,annotation_bucket,n_spots_detected,,324,92.083,36.485,87.0,31.8759,,
KIT-62500910,annotation_bucket,n_spots_detected,,324,178.877,80.781,158.0,59.304,,
KIT-62500912,annotation_bucket,n_spots_detected,,324,152.79,38.022,146.5,25.9455,,
KIT-62500913,annotation_bucket,n_spots_detected,,324,247.367,60.455,240.0,52.6323,,
KIT-62500916,annotation_bucket,n_spots_detected,,324,309.512,70.763,308.0,66.717,,
KIT-62500917,annotation_bucket,n_spots_detected,,324,276.762,96.222,262.0,89.6973,,
KIT-62500919,annotation_bucket,n_spots_detected,,324,103.648,43.389,99.5,40.7715,,
KIT-62500920,annotation_bucket,n_spots_detected,,324,149.932,38.08,145.0,29.652,,
KIT-62500923,annotation_bucket,n_spots_detected,,324,298.543,96.096,310.0,105.2646,,
KIT-62500926,annotation_bucket,n_spots_detected,,324,112.744,166.263,93.5,33.3585,,
